ticker,sector,tier,enabled,notes,date_added,candidate_reason
ASTS,Space/Telecom,MOONSHOT,False,Speculative space/telecom,2026-07-15,Auto-demoted from active watchlist
IONQ,Quantum Computing,MOONSHOT,False,Speculative quantum computing,2026-07-15,Auto-demoted from active watchlist
KYTX,Biotech,MOONSHOT,False,Biotech catalyst risk,2026-07-15,Auto-demoted from active watchlist
LUNR,Space,MOONSHOT,False,Speculative space,2026-07-15,Auto-demoted from active watchlist
CCJ,Uranium/Nuclear Energy,QUALITY,False,Uranium quality/cyclical,2026-07-15,Auto-removed from active watchlist
PL,Space,MOONSHOT,False,Speculative space,2026-07-15,Auto-demoted from active watchlist
SMCI,AI Infrastructure,MOONSHOT,False,High-risk AI infrastructure,2026-07-15,Auto-demoted from active watchlist
SMR,Nuclear Energy,MOONSHOT,False,Speculative nuclear,2026-07-15,Auto-demoted from active watchlist
OKLO,Nuclear Energy,MOONSHOT,False,Speculative nuclear,2026-07-15,Auto-demoted from active watchlist
JOBY,eVTOL/Aviation,MOONSHOT,False,Speculative aviation,2026-07-15,Auto-demoted from active watchlist
PLTR,Technology,MOMENTUM,False,AI software platform,2026-07-16,Strong AI demand
CLS,Technology,MOMENTUM,True,AI infrastructure supplier,2026-07-16,AI server demand
POET,Technology,MOONSHOT,True,Optical interconnects,2026-07-16,AI networking bet
HPE,Technology,MOMENTUM,True,Enterprise AI infrastructure,2026-07-16,AI server demand
RXRX,Healthcare,MOONSHOT,True,AI drug discovery,2026-07-16,AI biotech upside
SERV,Industrials,MOONSHOT,False,Autonomous robots,2026-07-16,Warehouse automation
RGTI,Quantum Computing,MOONSHOT,True,Speculative quantum computing,2026-07-16,Higher-risk quantum peer to IONQ
QBTS,Quantum Computing,MOONSHOT,True,Speculative quantum hardware/software,2026-07-16,Quantum moonshot candidate
RDW,Space Infrastructure,MOONSHOT,True,Space systems exposure,2026-07-16,Space infrastructure moonshot
BKSY,Satellite Analytics,MOONSHOT,True,Small-cap space/data play,2026-07-16,Satellite data/analytics upside
IREN,AI Data Centers,MOMENTUM,True,AI infrastructure/power theme,2026-07-16,AI data center momentum
APLD,AI Cloud/Data Centers,MOMENTUM,True,Aggressive AI infrastructure candidate,2026-07-16,AI cloud infrastructure upside
SYM,Robotics Automation,MOONSHOT,True,Warehouse automation/robotics,2026-07-16,Robotics automation upside
SDGR,AI Drug Discovery,MOONSHOT,True,AI biotech candidate,2026-07-16,AI drug discovery upside
ABCL,AI Biotech,MOONSHOT,True,AI antibody/drug discovery exposure,2026-07-16,AI biotech moonshot
TEM,AI Healthcare,MOONSHOT,True,Aggressive AI health/data platform,2026-07-16,AI healthcare data upside
