ticker,recommendation,next_up_rank,promotion_fit,promotion_reason,tier,score,timing_score,timing_action,sector,price,trend_score,momentum_score,accelerator_score,notes,candidate_reason,date_added,days_in_pool,last_reviewed,review_count,low_score_count,stale_flag,removal_reason,status_reason
LUNR,KEEP CANDIDATE,1,NEXT UP,Rank 1; score 75; timing 60; tier MOONSHOT; active list limited to top 5,MOONSHOT,75,60,WAIT,Space,12.920000076293944,25,0,50,Speculative space,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
RDW,KEEP CANDIDATE,2,NEXT UP,Rank 2; score 75; timing 60; tier MOONSHOT; active list limited to top 5,MOONSHOT,75,60,WAIT,Space Infrastructure,8.6899995803833,25,0,50,Space systems exposure,Space infrastructure moonshot,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
SMR,KEEP CANDIDATE,3,NEXT UP,Rank 3; score 75; timing 60; tier MOONSHOT; active list limited to top 5,MOONSHOT,75,60,WAIT,Nuclear Energy,8.09000015258789,25,0,50,Speculative nuclear,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
SOUN,KEEP CANDIDATE,4,STRONG CANDIDATE,Rank 4; score 75; timing 60; tier MOONSHOT; active list limited to top 5,MOONSHOT,75,60,WAIT,AI Software,6.159999847412109,25,0,50,Speculative AI software,Speculative AI software,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
SYM,KEEP CANDIDATE,5,STRONG CANDIDATE,Rank 5; score 75; timing 60; tier MOONSHOT; active list limited to top 5,MOONSHOT,75,60,WAIT,Robotics Automation,40.150001525878906,25,0,50,Warehouse automation/robotics,Robotics automation upside,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
HPE,KEEP CANDIDATE,6,STRONG CANDIDATE,Rank 6; score 75; timing 60; tier MOMENTUM; active list limited to top 5,MOMENTUM,75,60,WAIT,Technology,47.68999862670898,0,25,50,Enterprise AI infrastructure,AI server demand,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
IREN,KEEP CANDIDATE,7,STRONG CANDIDATE,Rank 7; score 75; timing 60; tier MOMENTUM; active list limited to top 5,MOMENTUM,75,60,WAIT,AI Data Centers,37.06999969482422,25,0,50,AI infrastructure/power theme,AI data center momentum,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
CBOE,KEEP CANDIDATE,8,STRONG CANDIDATE,Rank 8; score 75; timing 60; tier QUALITY; active list limited to top 5,QUALITY,75,60,WAIT,Financial Services,285.07000732421875,25,0,50,Established financial services,Established financial services,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
CCJ,KEEP CANDIDATE,9,STRONG CANDIDATE,Rank 9; score 75; timing 60; tier QUALITY; active list limited to top 5,QUALITY,75,60,WAIT,Uranium/Nuclear Energy,87.86000061035156,25,0,50,Uranium quality/cyclical,Auto-removed from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
LLY,KEEP CANDIDATE,10,STRONG CANDIDATE,Rank 10; score 75; timing 60; tier QUALITY; active list limited to top 5,QUALITY,75,60,WAIT,Healthcare/Pharma,1196.030029296875,0,25,50,Large-cap pharma,Large-cap pharma,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 75, timing 60"
NBIS,KEEP CANDIDATE,11,MONITOR,Rank 11; score 50; timing 60; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,60,WAIT,AI Infrastructure,187.7700042724609,0,0,50,Speculative AI infrastructure,Speculative AI infrastructure,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 60"
MU,KEEP CANDIDATE,12,MONITOR,Rank 12; score 50; timing 60; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,60,WAIT,Semiconductors,920.9500122070312,0,0,50,Cyclical semi momentum,Cyclical semi momentum,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 60"
AMD,KEEP CANDIDATE,13,MONITOR,Rank 13; score 50; timing 60; tier QUALITY; active list limited to top 5,QUALITY,50,60,WAIT,Semiconductors,521.9500122070312,0,0,50,Large-cap semiconductor,Large-cap semiconductor,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 60"
DDOG,KEEP CANDIDATE,14,MONITOR,Rank 14; score 50; timing 60; tier QUALITY; active list limited to top 5,QUALITY,50,60,WAIT,Cloud Software,246.8600006103516,0,0,50,Established SaaS/cloud,Established SaaS/cloud,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 60"
ABCL,KEEP CANDIDATE,15,MONITOR,Rank 15; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,AI Biotech,5.309999942779541,0,0,50,AI antibody/drug discovery exposure,AI biotech moonshot,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
ASTS,KEEP CANDIDATE,16,MONITOR,Rank 16; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Space/Telecom,56.20000076293945,0,0,50,Speculative space/telecom,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
CELC,KEEP CANDIDATE,17,MONITOR,Rank 17; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Biotech,82.62000274658203,0,0,50,Biotech catalyst risk,Biotech catalyst risk,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
IONQ,KEEP CANDIDATE,18,MONITOR,Rank 18; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Quantum Computing,32.84000015258789,0,0,50,Speculative quantum computing,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
JOBY,KEEP CANDIDATE,19,MONITOR,Rank 19; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,eVTOL/Aviation,6.929999828338623,0,0,50,Speculative aviation,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
KYTX,KEEP CANDIDATE,20,MONITOR,Rank 20; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Biotech,7.409999847412109,0,0,50,Biotech catalyst risk,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
OKLO,KEEP CANDIDATE,21,MONITOR,Rank 21; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Nuclear Energy,40.25,0,0,50,Speculative nuclear,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
PL,KEEP CANDIDATE,22,MONITOR,Rank 22; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Space,20.46999931335449,0,0,50,Speculative space,Auto-demoted from active watchlist,2026-07-15,9,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
POET,KEEP CANDIDATE,23,MONITOR,Rank 23; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Technology,6.889999866485596,0,0,50,Optical interconnects,AI networking bet,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
QBTS,KEEP CANDIDATE,24,MONITOR,Rank 24; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Quantum Computing,16.209999084472656,0,0,50,Speculative quantum hardware/software,Quantum moonshot candidate,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
RGTI,KEEP CANDIDATE,25,MONITOR,Rank 25; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Quantum Computing,14.149999618530272,0,0,50,Speculative quantum computing,Higher-risk quantum peer to IONQ,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
RKLB,KEEP CANDIDATE,26,MONITOR,Rank 26; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Space,63.90999984741211,0,0,50,Speculative space,Speculative space,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
RXRX,KEEP CANDIDATE,27,MONITOR,Rank 27; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Healthcare,2.9600000381469727,0,0,50,AI drug discovery,AI biotech upside,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
SDGR,KEEP CANDIDATE,28,MONITOR,Rank 28; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,AI Drug Discovery,14.970000267028809,0,0,50,AI biotech candidate,AI drug discovery upside,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
SERV,KEEP CANDIDATE,29,MONITOR,Rank 29; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,Industrials,4.809999942779541,0,0,50,Autonomous robots,Warehouse automation,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
TEM,KEEP CANDIDATE,30,MONITOR,Rank 30; score 50; timing 50; tier MOONSHOT; active list limited to top 5,MOONSHOT,50,50,WAIT,AI Healthcare,42.68999862670898,0,0,50,Aggressive AI health/data platform,AI healthcare data upside,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
ALAB,KEEP CANDIDATE,31,MONITOR,Rank 31; score 50; timing 50; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,50,WAIT,Semiconductors,291.5799865722656,0,0,50,AI/semi momentum,AI/semi momentum,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
ARM,KEEP CANDIDATE,32,MONITOR,Rank 32; score 50; timing 50; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,50,WAIT,Semiconductors,260.010009765625,0,0,50,High-growth semi momentum,High-growth semi momentum,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
CLS,KEEP CANDIDATE,33,MONITOR,Rank 33; score 50; timing 50; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,50,WAIT,Technology,305.2799987792969,0,0,50,AI infrastructure supplier,AI server demand,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
CRDO,KEEP CANDIDATE,34,MONITOR,Rank 34; score 50; timing 50; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,50,WAIT,Semiconductors,213.1499938964844,0,0,50,High-growth semiconductor momentum,High-growth semiconductor momentum,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
PLTR,KEEP CANDIDATE,35,MONITOR,Rank 35; score 50; timing 50; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,50,WAIT,Technology,122.91999816894533,0,0,50,AI software platform,Strong AI demand,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
PUBM,KEEP CANDIDATE,36,MONITOR,Rank 36; score 50; timing 50; tier MOMENTUM; active list limited to top 5,MOMENTUM,50,50,WAIT,AdTech,12.520000457763672,0,0,50,Small/mid-cap adtech momentum,Small/mid-cap adtech momentum,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
AMZN,KEEP CANDIDATE,37,MONITOR,Rank 37; score 50; timing 50; tier QUALITY; active list limited to top 5,QUALITY,50,50,WAIT,Internet/E-Commerce,232.1100006103516,0,0,50,Large-cap quality,Large-cap quality,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
INTC,KEEP CANDIDATE,38,MONITOR,Rank 38; score 50; timing 50; tier QUALITY; active list limited to top 5,QUALITY,50,50,WAIT,Semiconductors,92.31999969482422,0,0,50,Large-cap turnaround,Large-cap turnaround,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
MRVL,KEEP CANDIDATE,39,MONITOR,Rank 39; score 50; timing 50; tier QUALITY; active list limited to top 5,QUALITY,50,50,WAIT,Semiconductors,194.22999572753903,0,0,50,Established semiconductor,Established semiconductor,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
TSLA,KEEP CANDIDATE,40,MONITOR,Rank 40; score 50; timing 50; tier QUALITY; active list limited to top 5,QUALITY,50,50,WAIT,Electric Vehicles,313.0299987792969,0,0,50,Large-cap volatile quality,Large-cap volatile quality,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
TSM,KEEP CANDIDATE,41,MONITOR,Rank 41; score 50; timing 50; tier QUALITY; active list limited to top 5,QUALITY,50,50,WAIT,Semiconductors,403.4100036621094,0,0,50,Large-cap semiconductor,Large-cap semiconductor,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
VRT,KEEP CANDIDATE,42,MONITOR,Rank 42; score 50; timing 50; tier QUALITY; active list limited to top 5,QUALITY,50,50,WAIT,Data Centers,290.3599853515625,0,0,50,Data center infrastructure,Data center infrastructure,2026-07-16,8,2026-07-24,28,0,,,"Kept candidate: outside top 5; score 50, timing 50"
