ticker,sector,tier,enabled,notes,date_added,candidate_reason,last_reviewed,review_count,status_reason,low_score_count
LUNR,Space,MOONSHOT,False,Speculative space,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
RDW,Space Infrastructure,MOONSHOT,False,Space systems exposure,2026-07-16,Space infrastructure moonshot,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
SMR,Nuclear Energy,MOONSHOT,False,Speculative nuclear,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
SOUN,AI Software,MOONSHOT,False,Speculative AI software,2026-07-16,Speculative AI software,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
SYM,Robotics Automation,MOONSHOT,False,Warehouse automation/robotics,2026-07-16,Robotics automation upside,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
HPE,Technology,MOMENTUM,False,Enterprise AI infrastructure,2026-07-16,AI server demand,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
IREN,AI Data Centers,MOMENTUM,False,AI infrastructure/power theme,2026-07-16,AI data center momentum,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
CBOE,Financial Services,QUALITY,False,Established financial services,2026-07-16,Established financial services,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
CCJ,Uranium/Nuclear Energy,QUALITY,False,Uranium quality/cyclical,2026-07-15,Auto-removed from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
LLY,Healthcare/Pharma,QUALITY,False,Large-cap pharma,2026-07-16,Large-cap pharma,2026-07-24,28,"Kept candidate: outside top 5; score 75, timing 60",0
NBIS,AI Infrastructure,MOONSHOT,False,Speculative AI infrastructure,2026-07-16,Speculative AI infrastructure,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 60",0
MU,Semiconductors,MOMENTUM,False,Cyclical semi momentum,2026-07-16,Cyclical semi momentum,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 60",0
AMD,Semiconductors,QUALITY,False,Large-cap semiconductor,2026-07-16,Large-cap semiconductor,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 60",0
DDOG,Cloud Software,QUALITY,False,Established SaaS/cloud,2026-07-16,Established SaaS/cloud,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 60",0
ABCL,AI Biotech,MOONSHOT,False,AI antibody/drug discovery exposure,2026-07-16,AI biotech moonshot,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
ASTS,Space/Telecom,MOONSHOT,False,Speculative space/telecom,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
CELC,Biotech,MOONSHOT,False,Biotech catalyst risk,2026-07-16,Biotech catalyst risk,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
IONQ,Quantum Computing,MOONSHOT,False,Speculative quantum computing,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
JOBY,eVTOL/Aviation,MOONSHOT,False,Speculative aviation,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
KYTX,Biotech,MOONSHOT,False,Biotech catalyst risk,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
OKLO,Nuclear Energy,MOONSHOT,False,Speculative nuclear,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
PL,Space,MOONSHOT,False,Speculative space,2026-07-15,Auto-demoted from active watchlist,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
POET,Technology,MOONSHOT,False,Optical interconnects,2026-07-16,AI networking bet,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
QBTS,Quantum Computing,MOONSHOT,False,Speculative quantum hardware/software,2026-07-16,Quantum moonshot candidate,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
RGTI,Quantum Computing,MOONSHOT,False,Speculative quantum computing,2026-07-16,Higher-risk quantum peer to IONQ,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
RKLB,Space,MOONSHOT,False,Speculative space,2026-07-16,Speculative space,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
RXRX,Healthcare,MOONSHOT,False,AI drug discovery,2026-07-16,AI biotech upside,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
SDGR,AI Drug Discovery,MOONSHOT,False,AI biotech candidate,2026-07-16,AI drug discovery upside,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
SERV,Industrials,MOONSHOT,False,Autonomous robots,2026-07-16,Warehouse automation,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
TEM,AI Healthcare,MOONSHOT,False,Aggressive AI health/data platform,2026-07-16,AI healthcare data upside,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
ALAB,Semiconductors,MOMENTUM,False,AI/semi momentum,2026-07-16,AI/semi momentum,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
ARM,Semiconductors,MOMENTUM,False,High-growth semi momentum,2026-07-16,High-growth semi momentum,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
CLS,Technology,MOMENTUM,False,AI infrastructure supplier,2026-07-16,AI server demand,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
CRDO,Semiconductors,MOMENTUM,False,High-growth semiconductor momentum,2026-07-16,High-growth semiconductor momentum,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
PLTR,Technology,MOMENTUM,False,AI software platform,2026-07-16,Strong AI demand,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
PUBM,AdTech,MOMENTUM,False,Small/mid-cap adtech momentum,2026-07-16,Small/mid-cap adtech momentum,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
AMZN,Internet/E-Commerce,QUALITY,False,Large-cap quality,2026-07-16,Large-cap quality,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
INTC,Semiconductors,QUALITY,False,Large-cap turnaround,2026-07-16,Large-cap turnaround,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
MRVL,Semiconductors,QUALITY,False,Established semiconductor,2026-07-16,Established semiconductor,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
TSLA,Electric Vehicles,QUALITY,False,Large-cap volatile quality,2026-07-16,Large-cap volatile quality,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
TSM,Semiconductors,QUALITY,False,Large-cap semiconductor,2026-07-16,Large-cap semiconductor,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
VRT,Data Centers,QUALITY,False,Data center infrastructure,2026-07-16,Data center infrastructure,2026-07-24,28,"Kept candidate: outside top 5; score 50, timing 50",0
