ticker,sector,tier,enabled,notes,date_added,candidate_reason,last_reviewed,review_count,status_reason
ASTS,Space/Telecom,MOONSHOT,False,Speculative space/telecom,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 70, timing 75"
IONQ,Quantum Computing,MOONSHOT,False,Speculative quantum computing,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
KYTX,Biotech,MOONSHOT,False,Biotech catalyst risk,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 60"
LUNR,Space,MOONSHOT,False,Speculative space,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
CCJ,Uranium/Nuclear Energy,QUALITY,False,Uranium quality/cyclical,2026-07-15,Auto-removed from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
PL,Space,MOONSHOT,False,Speculative space,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
SMCI,AI Infrastructure,MOONSHOT,False,High-risk AI infrastructure,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
SMR,Nuclear Energy,MOONSHOT,False,Speculative nuclear,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
OKLO,Nuclear Energy,MOONSHOT,False,Speculative nuclear,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
JOBY,eVTOL/Aviation,MOONSHOT,False,Speculative aviation,2026-07-15,Auto-demoted from active watchlist,2026-07-16,4,"Kept candidate: score 50, timing 50"
PLTR,Technology,MOMENTUM,False,AI software platform,2026-07-16,Strong AI demand,2026-07-16,4,"Kept candidate: score 75, timing 60"
RGTI,Quantum Computing,MOONSHOT,False,Speculative quantum computing,2026-07-16,Higher-risk quantum peer to IONQ,2026-07-16,4,"Kept candidate: score 50, timing 50"
QBTS,Quantum Computing,MOONSHOT,False,Speculative quantum hardware/software,2026-07-16,Quantum moonshot candidate,2026-07-16,4,"Kept candidate: score 50, timing 50"
RDW,Space Infrastructure,MOONSHOT,False,Space systems exposure,2026-07-16,Space infrastructure moonshot,2026-07-16,4,"Kept candidate: score 50, timing 50"
IREN,AI Data Centers,MOMENTUM,False,AI infrastructure/power theme,2026-07-16,AI data center momentum,2026-07-16,4,"Kept candidate: score 50, timing 50"
APLD,AI Cloud/Data Centers,MOMENTUM,False,Aggressive AI infrastructure candidate,2026-07-16,AI cloud infrastructure upside,2026-07-16,4,"Kept candidate: score 50, timing 50"
